,title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,precio_certificado
277,Habilidades de negociación y comunicación efectiva,19614,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,Español,5–8 hours per week,4 Weeks,149
278,Effective Communication for Today's Leader,8862,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,Inglés,Inglés,5–8 hours per week,4 Weeks,149
279,Electric Cars: Technology,40972,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,Inglés,Inglés,4–5 hours per week,4 Weeks,50
280,Site Planning Online,12948,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Design,Inglés,Inglés,4–6 hours per week,10 Weeks,99
281,Macroeconometric Forecasting,69358,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,Inglés,Inglés,8–10 hours per week,9 Weeks,25
282,Administración pública y fiscal: cómo se gestiona un gobierno,49189,Self-paced on your time,Inter-American Development Bank,Introductory,Economics & Finance,Español,"Español, Español",3–4 hours per week,10 Weeks,25
283,Fundamentals of Red Hat Enterprise Linux,53788,Self-paced on your time,Red Hat,Introductory,Computer Science,Inglés,Inglés,1–3 hours per week,9 Weeks,99
284,Algorithms,61722,Self-paced on your time,IITBombay,Intermediate,Computer Science,Inglés,Inglés,6–8 hours per week,6 Weeks,149
285,Calculus Applied!,54976,Self-paced on your time,Harvard University,Intermediate,Math,Inglés,Inglés,3–6 hours per week,10 Weeks,99
286,Precalculus,55576,Self-paced on your time,Arizona State University,Intermediate,Math,Inglés,Inglés,9–10 hours per week,15 Weeks,49
287,Fundamentos de anatomía y técnica quirúrgica básica,12133,Instructor-led on a course schedule,Universidad del Rosario,Introductory,Medicine,Español,Español,4–6 hours per week,4 Weeks,49
288,Business Communications,60713,Self-paced on your time,University of British Columbia,Introductory,Business & Management,Inglés,Inglés,3–5 hours per week,6 Weeks,150
289,Italian Language and Culture: Intermediate (2019-2020),35058,Self-paced on your time,Wellesley College,Intermediate,Language,Italiano,Italiano,3–5 hours per week,12 Weeks,49
290,International Women's Health and Human Rights,9796,Self-paced on your time,Stanford University,Introductory,Social Sciences,Inglés,Inglés,1–5 hours per week,10 Weeks,50
291,Blockchain: Understanding Its Uses and Implications,66769,Self-paced on your time,The Linux Foundation,Introductory,Business & Management,Inglés,Inglés,2–3 hours per week,14 Weeks,199
292,"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",22366,Self-paced on your time,Imperial College London,Intermediate,Math,Inglés,Inglés,2–4 hours per week,7 Weeks,49
293,Blockchain Technology,55376,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,Inglés,Inglés,3–5 hours per week,6 Weeks,99
294,Basics of Power BI,8314,Self-paced on your time,Rolls-Royce,Introductory,Data Analysis & Statistics,Inglés,Inglés,1–5 hours per week,2 Weeks,49
295,Preparing to Network in English,34337,Self-paced on your time,University of Washington,Introductory,Language,Inglés,Inglés,3–5 hours per week,6 Weeks,149
296,Mandarin Chinese Essentials,36665,Self-paced on your time,MandarinX,Introductory,Language,Inglés,Inglés,4–10 hours per week,5 Weeks,99
297,Human Rights: The Rights of Refugees,84270,Self-paced on your time,Amnesty International,Introductory,Humanities,Inglés,Inglés,3–5 hours per week,3 Weeks,49
298,What do Architects and Urban Planners do?,11046,Self-paced on your time,Wits University,Introductory,Architecture,Inglés,Inglés,2–3 hours per week,3 Weeks,49
299,"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",22723,Self-paced on your time,Harvard University,Introductory,Social Sciences,Inglés,Inglés,2–4 hours per week,4 Weeks,49
300,Negotiation Skills and Effective Communication,8146,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,Inglés,Inglés,5–8 hours per week,4 Weeks,149
301,AP® English Literature & Composition – Part 1: Stories,15650,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,Inglés,Inglés,4–5 hours per week,7 Weeks,49
302,"Viruses & How to Beat Them: Cells, Immunity, Vaccines",28710,Self-paced on your time,IsraelX-Tel Aviv University,Introductory,Medicine,Inglés,Inglés,2–3 hours per week,7 Weeks,149
303,Alianzas: un vehículo para lograr el desarrollo sostenible,17554,Self-paced on your time,Inter-American Development Bank,Introductory,Social Sciences,Español,Inglés,3–4 hours per week,10 Weeks,25
304,Designing and Creating Skirts,13954,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Design,Inglés,Inglés,3–5 hours per week,5 Weeks,99
305,Cómo Aprender Online,7958,Self-paced on your time,edX,Introductory,Education & Teacher Training,Español,"Inglés, Español",2–3 hours per week,2 Weeks,49
306,Computing in Python II: Control Structures,31511,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,Inglés,Inglés,9–10 hours per week,5 Weeks,99
307,Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,29614,Self-paced on your time,Universidad Galileo,Introductory,Communication,Español,Español,3–4 hours per week,5 Weeks,49
308,Machine Learning Fundamentals,82008,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,Inglés,Inglés,8–10 hours per week,10 Weeks,350
309,Pre-University Calculus,103224,Self-paced on your time,Delft University of Technology,Introductory,Math,Inglés,Inglés,6–8 hours per week,8 Weeks,50
310,Tsinghua Chinese: Start Talking with 1.3 Billion People,58834,Self-paced on your time,Tsinghua University,Introductory,Language,Inglés,Inglés,2–3 hours per week,6 Weeks,49
